"","FIPS","tester"
"478","16029",1
"479","16031",1
"480","16033",1
"481","16035",1
"482","16037",1
"483","16039",1
"484","16041",1
"485","16043",1
"486","16045",1
"487","16047",1
"488","16049",1
"489","16051",1
"490","16053",1
"491","16055",1
"492","16057",1
"493","16059",1
"494","16061",1
"495","16063",1
"496","16065",1
"497","16067",1
"498","16069",1
"499","16071",1
"500","16073",1
"501","16075",1
"502","16077",1
"503","16079",1
"504","16081",1
"505","16083",1
"506","16085",1
"507","16087",1
"508","17001",1
"509","17003",1
"510","17005",1
"511","17007",1
"512","17009",1
"513","17011",1
"514","17015",1
"515","17017",1
"516","17019",1
"517","17021",1
"518","17023",1
"519","17025",1
"520","17027",1
"521","17029",1
"522","17031",1
"523","17033",1
"524","17035",1
"525","17037",1
"526","17039",1
"527","17041",1
"528","17043",1
"529","17045",1
"530","17047",1
"531","17049",1
"532","17051",1
"533","17053",1
"534","17055",1
"535","17057",1
"536","17059",1
"537","17061",1
"538","17063",1
"539","17065",1
"540","17067",1
"541","17069",1
"542","17071",1
"543","17073",1
"544","17075",1
"545","17077",1
"546","17079",1
"547","17081",1
"548","17083",1
"549","17085",1
"550","17087",1
"551","17089",1
"552","17091",1
"553","17093",1
"554","17095",1
"555","17097",1
"556","17099",1
"557","17101",1
"558","17103",1
"559","17105",1
"560","17107",1
"561","17109",1
"562","17111",1
"563","17113",1
"564","17115",1
"565","17117",1
"566","17119",1
"567","17121",1
"568","17123",1
"569","17125",1
"570","17127",1
"571","17129",1
"572","17131",1
"573","17133",1
"574","17135",1
"575","17137",1
"576","17139",1
"577","17141",1
"578","17143",1
"579","17145",1
"580","17147",1
"581","17149",1
"582","17151",1
"583","17153",1
"584","17155",1
"585","17157",1
"586","17159",1
"587","17161",1
"588","17163",1
"589","17165",1
"590","17167",1
"591","17169",1
"592","17171",1
"593","17173",1
"594","17175",1
"595","17177",1
"596","17179",1
"597","17181",1
"598","17183",1
"599","17185",1
"600","17187",1
"601","17189",1
"602","17191",1
"603","17193",1
"604","17195",1
"605","17197",1
"606","17199",1
"607","17201",1
"608","17203",1
"609","18001",1
"610","18003",1
"611","18005",1
"612","18007",1
"613","18009",1
"614","18011",1
"615","18013",1
"616","18015",1
"617","18017",1
"618","18019",1
"619","18021",1
"620","18023",1
"621","18025",1
"622","18027",1
"623","18029",1
"624","18031",1
"625","18033",1
"626","18035",1
"627","18037",1
"628","18039",1
"629","18041",1
"630","18043",1
"631","18045",1
"632","18047",1
"633","18049",1
"634","18051",1
"635","18053",1
"636","18055",1
"637","18057",1
"638","18059",1
"639","18061",1
"640","18063",1
"641","18065",1
"642","18067",1
"643","18069",1
"644","18071",1
"645","18073",1
"646","18075",1
"647","18077",1
"648","18079",1
"649","18081",1
"650","18083",1
"651","18085",1
"652","18087",1
"653","18089",1
"654","18091",1
"655","18093",1
"656","18095",1
"657","18097",1
"658","18099",1
"659","18101",1
"660","18103",1
"661","18105",1
"662","18107",1
"663","18109",1
"664","18111",1
"665","18113",1
"666","18115",1
"667","18117",1
"668","18119",1
"669","18121",1
"670","18123",1
"671","18125",1
"672","18127",1
"673","18129",1
"674","18131",1
"675","18133",1
"676","18135",1
"677","18137",1
"678","18139",1
"679","18141",1
"680","18143",1
"681","18145",1
"682","18147",1
"683","18149",1
"684","18151",1
"685","18153",1
"686","18155",1
"687","18157",1
"688","18159",1
"689","18161",1
"690","18163",1
"691","18165",1
"692","18167",1
"693","18169",1
"694","18171",1
"695","18173",1
"696","18175",1
"697","18177",1
"698","18179",1
"699","18181",1
"700","18183",1
"701","19001",1
"702","19003",1
"703","19005",1
"704","19007",1
"705","19009",1
"706","19011",1
"707","19013",1
"708","19015",1
"709","19017",1
"710","19019",1
"711","19021",1
"712","19023",1
"713","19027",1
"714","19029",1
