"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Lamine Kone",2600,"CHE@SUN 10:00AM ET",4.500,"SUN"
"M","Harry Arter",2600,"WBA@BOU 10:00AM ET",5.675,"BOU"
"D","James Tomkins",2600,"SWA@WHU 10:00AM ET",5.152,"WHU"
"D","Ciaran Clark",2600,"NEW@AVL 10:00AM ET",3.794,"AVL"
"M","Pedro Obiang",2600,"SWA@WHU 10:00AM ET",2.804,"WHU"
"D","Marc Muniesa",2600,"STK@CRY 10:00AM ET",3.500,"STK"
"M","Lee Chung-yong",2600,"STK@CRY 10:00AM ET",4.458,"CRY"
"M","Ki Sung-yueng",2600,"SWA@WHU 10:00AM ET",3.611,"SWA"
"M","Alex Pritchard",2600,"WBA@BOU 10:00AM ET",2.667,"WBA"
"M","Liam Gibson",2600,"NEW@AVL 10:00AM ET",0,"NEW"
"M","Oliver Shenton",2600,"STK@CRY 10:00AM ET",0,"STK"
"GK","Steve Harper",2500,"CHE@SUN 10:00AM ET",0,"SUN"
"M","Steven Pienaar",2500,"EVE@LEI 12:30PM ET",2.375,"EVE"
"D","Damien Delaney",2500,"STK@CRY 10:00AM ET",4.617,"CRY"
"M","Leon Osman",2500,"EVE@LEI 12:30PM ET",1.500,"EVE"
"GK","Julian Speroni",2500,"STK@CRY 10:00AM ET",14.000,"CRY"
"M","Charles N'Zogbia",2500,"NEW@AVL 10:00AM ET",2.250,"AVL"
"M","Joe Ledley",2500,"STK@CRY 10:00AM ET",2.722,"CRY"
"D","Gary Cahill",2500,"CHE@SUN 10:00AM ET",4.630,"CHE"
"M","Adam Johnson",2500,"CHE@SUN 10:00AM ET",6.974,"SUN"
"GK","Tim Krul",2500,"NEW@AVL 10:00AM ET",4.750,"NEW"
"D","Micah Richards",2500,"NEW@AVL 10:00AM ET",5.065,"AVL"
"M","Shaun MacDonald",2500,"WBA@BOU 10:00AM ET",0.167,"BOU"
"M","Nathan Dyer",2500,"EVE@LEI 12:30PM ET",2.846,"LEI"
"M","Darron Gibson",2500,"EVE@LEI 12:30PM ET",0.167,"EVE"
"D","Tommy Elphick",2500,"WBA@BOU 10:00AM ET",3.550,"BOU"
