STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,652860,R_13,652860,R_13,736399,R_13,84,R_13,16,R_13,1,R_13,60.51,R_13,109.47,R_13,204.24,R_13,313.71,R_13,31146025,R_13,724882,R_13,1432549,R_13,2946130,R_13,36249586,R_13,14592742,R_13,8994731,R_13,23587473,R_13,2099272,R_13,395311,R_13,570255,R_13,3064838,R_13,9238344,R_13,35890655,R_13,2219707,R_13,20746669,R_13,507104,R_13,698516,R_13,24171996,R_13,36222524,R_13,2439730,R_13,358779,R_13,111945,R_13,290639,R_13,262664,R_13,176,R_13,685,R_13,4116,R_13,4801,R_13,5133,R_13,151471,R_13,3376309,R_13,410084,R_13,336841,R_13,4625365,R_13,1753837,IF13,192174,R_13,20367,R_13,17095,R_13,11554,R_13,7955,R_13,1294,R_13,261848,R_13,192403,R_13,19432,R_13,904,R_13,795120,R_13,01/2012,R_13,06/2013,R_13,02,2014,08
AL,4802740,R_13,4802740,R_13,4802740,R_13,221,R_13,75,R_13,13,R_13,314.88,R_13,759.96,R_13,1011.40,R_13,1771.36,R_13,86202879,R_13,4783692,R_13,1029138,R_13,8866206,R_13,100881915,R_13,53483277,R_13,13662333,R_13,67145610,R_13,6413176,R_13,1443638,R_13,2662219,R_13,10519033,R_13,20472764,R_13,98137407,R_13,2504677,R_13,0,R_13,322763,R_13,4002461,R_13,6829901,R_13,7947146,R_13,9723150,R_13,1776750,IF13,466888,R_13,333772,IF13,618288,R_13,3506,IF13,951,R_13,15592,R_13,16543,R_13,9444,IF13,621630,R_13,16617640,IF13,4544117,IF13,2754535,R_13,20873534,R_13,6447624,R_13,1637385,IF13,418298,IF13,413938,R_13,39539,R_13,20969,R_13,3697,U_13,1015959,R_13,682471,R_13,64289,U_13,5264,IF13,4757239,IF13,10/2012,R_13,09/2013,R_13,01,2014,05
AR,2791901,R_13,2643928,R_13,2915918,R_13,53,R_13,164,R_13,1,R_13,139.38,IF13,264.28,IF13,718.39,IF13,982.67,IF13,61755127,IF13,5262565,IF13,116079,IF13,4438695,IF13,71572466,IF13,32408337,IF13,9609641,IF13,42017978,IF13,5868994,IF13,2083662,IF13,1896265,IF13,9848921,IF13,17057182,IF13,68924081,IF13,8997561,IF13,122334,IF13,0,IF13,934069,IF13,10053964,IF13,10759477,IF13,6578816,IF13,331532,IF13,236807,IF13,116957,IF13,401597,IF13,1922,IF13,600,IF13,2984,IF13,3584,IF13,8977,IF13,429331,IF13,10574105,IF13,2427287,IF13,1503721,IF13,14431248,IF13,3426425,IF13,-1,IA13,26073,IF13,27590,IF13,32238,IF13,19875,IF13,4272,U_13,899329,IF13,642273,IF13,80980,U_13,2376,IF13,2128528,IF13,01/2013,R_13,12/2013,R_13,05,2014,05
AS,66692,R_13,65892,R_13,66692,R_13,1,R_13,1,R_13,0,R_13,1.00,R_13,8.00,R_13,3.00,R_13,11.00,R_13,0,R_13,365750,R_13,108000,R_13,15000,R_13,488750,R_13,278079,R_13,33585,R_13,311664,R_13,25573,R_13,20313,R_13,7852,R_13,53738,R_13,129056,R_13,494458,R_13,0,R_13,0,R_13,0,R_13,0,R_13,0,R_13,0,R_13,39890,R_13,0,R_13,895,R_13,0,R_13,290,R_13,0,R_13,0,R_13,2,R_13,2,R_13,2,R_13,2236,R_13,59264,R_13,1651,R_13,20843,R_13,25938,R_13,10068,R_13,-1,U_13,0,R_13,0,R_13,487,R_13,457,R_13,-1,U_13,6195,R_13,5924,R_13,-1,U_13,20,R_13,6687,R_13,10/2012,R_13,09/2013,R_13,60,2014,09
AZ,10370306,R_13,6581054,R_13,6581054,R_13,85,R_13,134,R_13,10,R_13,462.18,IF13,551.13,IF13,1533.85,IF13,2084.98,IF13,163880320,IF13,1555009,IF13,2054104,IF13,7193830,IF13,174683263,IF13,76545071,IF13,27777215,IF13,104322286,IF13,13284623,IF13,6240291,IF13,5746939,IF13,25271853,IF13,45124844,IF13,174718983,IF13,4960120,IF13,123564,IF13,0,IF13,192386,IF13,5276070,IF13,2436336,IF13,8446171,IF13,1076863,IF13,709980,IF13,526233,IF13,1085021,IF13,42440,IF13,1061,IF13,2366,R_13,3427,IF13,15202,IF13,483404,IF13,27606792,IF13,5599184,IF13,3376539,IF13,47617904,IF13,14607284,IF13,2683105,IF13,279933,IF13,309076,IF13,62018,IF13,33295,IF13,5303,R_13,1305936,IF13,957785,IF13,83293,U_13,5571,IF13,6907502,IF13,07/2012,R_13,06/2013,R_13,04,2014,06
CA,37966034,R_13,37966034,R_13,37966471,R_13,166,R_13,949,R_13,56,R_13,2946.97,IF13,3143.95,IF13,8216.48,IF13,11360.43,IF13,1194546331,IF13,14497004,IF13,4437552,IF13,64033777,IF13,1277514664,IF13,550183236,IF13,262827368,IF13,813010604,IF13,65924295,IF13,20232843,IF13,18165107,IF13,104322245,IF13,288669243,IF13,1206002092,IF13,60939542,IF13,3701033,IF13,1272439,IF13,5051142,IF13,70964156,IF13,159402395,IF13,67640760,IF13,1761806,IF13,3578060,IF13,545494,IF13,4997161,IF13,62949,IF13,3911,IF13,149,IF13,4060,IF13,101562,IF13,2201530,IF13,165501141,IF13,22995728,IF13,21596165,IF13,227597939,IF13,92399667,IF13,7537069,IF13,3381972,IF13,3409178,IF13,329631,IF13,211083,IF13,32009,U_13,8912356,IF13,6436861,IF13,518697,U_13,21030,IF13,34723633,IF13,07/2012,R_13,06/2013,R_13,06,2014,08
CO,5166948,R_13,5106749,R_13,5188683,R_13,97,R_13,155,R_13,13,R_13,610.25,R_13,864.73,R_13,2131.00,R_13,2995.73,R_13,259111301,R_13,1098831,R_13,944413,R_13,15516150,R_13,276670695,R_13,126638649,IF13,34710444,IF13,161349093,IF13,15979931,R_13,8195866,R_13,9731416,R_13,33907213,R_13,61154746,R_13,256411052,IF13,17887723,R_13,88356,R_13,6485,R_13,3249134,R_13,21231698,R_13,30495721,R_13,10823244,IF13,1228287,IF13,914182,R_13,408162,IF13,1275082,IF13,24284,IF13,2038,R_13,0,R_13,2038,R_13,21433,IF13,603480,R_13,32772334,IF13,4271507,IF13,3517109,R_13,65668877,IF13,22595002,IF13,3614215,IF13,853562,R_13,869817,R_13,98663,R_13,62293,R_13,8356,R_13,2441278,R_13,1810288,R_13,136509,R_13,6021,R_13,7003013,IF13,01/2013,R_13,12/2013,R_13,08,2014,07
CT,4374031,R_13,3590347,R_13,3590347,R_13,193,R_13,46,R_13,4,R_13,759.42,IF13,1108.24,IF13,1208.32,IF13,2316.56,IF13,170408243,IF13,1574377,IF13,542628,IF13,23407162,IF13,195932410,IF13,114233113,IF13,32764921,IF13,146998034,IF13,12710409,IF13,3405406,IF13,3239556,IF13,19355371,IF13,35991933,IF13,202345338,IF13,3155440,IF13,1753999,IF13,457000,IF13,1183530,IF13,6549969,IF13,7871895,IF13,15264395,IF13,1004857,IF13,838307,IF13,942502,IF13,1111449,IF13,6429,IF13,1602,IF13,5036,IF13,6638,IF13,23073,IF13,544395,IF13,23092578,IF13,3597675,IF13,1735150,IF13,32696879,IF13,11331697,IF13,696606,IF13,933856,IF13,926067,IF13,92671,IF13,54942,IF13,6552,U_13,1914093,IF13,1218054,IF13,99578,U_13,4371,IF13,4912738,IF13,07/2012,R_13,06/2013,R_13,09,2014,01
DC,632323,R_13,632323,R_13,632323,R_13,1,R_13,25,R_13,0,R_13,158.00,R_13,158.00,R_13,382.90,R_13,540.90,R_13,41582857,R_13,0,R_13,996121,R_13,429386,R_13,43008364,R_13,25058825,R_13,5535258,R_13,30594083,R_13,1945866,R_13,1300000,R_13,465000,R_13,3710866,R_13,8342035,R_13,42646984,R_13,23026976,R_13,0,R_13,0,R_13,0,R_13,23026976,R_13,16728489,R_13,1802305,R_13,80939,R_13,85940,R_13,13434,R_13,139453,R_13,471,R_13,77,R_13,0,R_13,77,R_13,2309,R_13,65208,R_13,2477389,IA13,870804,IA13,315737,R_13,3295485,R_13,1095519,R_13,287295,R_13,2,R_13,219,R_13,10520,R_13,6699,R_13,1293,R_13,264799,R_13,214484,R_13,12716,R_13,1000,R_13,855338,R_13,10/2012,R_13,09/2013,R_13,11,2014,02
DE,917060,R_13,917060,R_13,917060,R_13,19,R_13,13,R_13,2,R_13,62.14,R_13,115.55,R_13,214.38,R_13,329.93,R_13,19051605,R_13,3944742,R_13,12274,R_13,1369265,R_13,24377886,R_13,12276009,R_13,4227730,R_13,16503739,R_13,1802744,R_13,230090,R_13,607753,R_13,2640587,R_13,5160293,R_13,24304619,R_13,496140,R_13,6709099,R_13,0,R_13,4336317,R_13,11541556,R_13,12036436,R_13,1642391,R_13,263193,R_13,112897,R_13,27069,R_13,170415,R_13,0,R_13,51,R_13,735,R_13,786,R_13,4559,R_13,83385,R_13,3717974,R_13,354860,R_13,417577,R_13,6109223,R_13,1963086,R_13,158685,R_13,766329,R_13,734781,R_13,11403,R_13,5398,R_13,962,R_13,206522,R_13,122231,R_13,9148,R_13,714,R_13,638282,R_13,07/2012,R_13,06/2013,R_13,10,2014,02
FL,19526098,R_13,19216537,R_13,19526504,R_13,60,R_13,469,R_13,26,R_13,1648.89,IF13,1912.10,IF13,4156.41,IF13,6068.51,IF13,440961767,IF13,22684687,IF13,1450152,IF13,22201811,IF13,487298417,IF13,226749613,IF13,78624062,IF13,305373675,IF13,34153573,IF13,14376835,IF13,10348513,IF13,58878921,IF13,146927910,IF13,511180506,IF13,43093431,IF13,95344,IF13,140527,IF13,261271,IF13,43590573,IF13,42565759,IF13,31350819,IF13,1481712,IF13,1977105,IF13,233954,IF13,3410485,IF13,71656,IF13,1963,IF13,4080,R_13,6043,IF13,49306,IF13,1251876,IF13,78893035,IF13,26327587,IF13,10635179,IF13,120986377,IF13,34795622,IF13,11841985,IF13,99884,IF13,128235,IF13,192808,IF13,94098,IF13,16463,R_13,4201714,IF13,2581805,IF13,276482,U_13,16386,IF13,18953732,IF13,10/2012,R_13,09/2013,R_13,12,2014,05
GA,10660977,R_13,10660977,R_13,10660977,R_13,61,R_13,330,R_13,16,R_13,605.00,R_13,605.00,R_13,2094.00,R_13,2699.00,R_13,158661697,R_13,24810951,R_13,388176,R_13,11239648,R_13,195100472,R_13,92178734,R_13,36271394,R_13,128450128,R_13,10740417,R_13,2523958,R_13,2748006,R_13,16012381,R_13,34190858,R_13,178653367,R_13,27112634,R_13,9895447,R_13,50000,R_13,135939,R_13,37194020,R_13,29021522,R_13,16089310,R_13,272955,IF13,630559,R_13,253183,IF13,899040,R_13,10008,IF13,236,R_13,10065,R_13,10301,R_13,16515,R_13,825035,R_13,30987147,R_13,9494349,IF13,4756949,R_13,41451474,R_13,16808871,R_13,970168,IF13,861692,R_13,818645,R_13,63999,R_13,39287,R_13,4645,R_13,1745121,R_13,1345017,R_13,91054,R_13,8085,R_13,12993797,R_13,07/2012,R_13,06/2013,R_13,13,2014,05
GU,159358,R_13,159358,R_13,159358,R_13,1,R_13,5,R_13,1,R_13,0.00,R_13,0.00,R_13,21.00,R_13,21.00,R_13,1145124,R_13,0,R_13,0,R_13,59336,R_13,1204460,R_13,614600,R_13,249465,R_13,864065,R_13,5700,R_13,42083,R_13,0,R_13,47783,R_13,27431,R_13,939279,R_13,0,R_13,0,R_13,158345,R_13,0,R_13,158345,R_13,0,R_13,260586,R_13,0,R_13,2663,R_13,0,R_13,4970,R_13,0,R_13,2,R_13,0,R_13,2,R_13,74,R_13,8029,R_13,98969,R_13,33011,R_13,59048,R_13,46448,R_13,29191,R_13,0,R_13,24,R_13,0,R_13,751,R_13,399,R_13,248,R_13,14841,R_13,10448,R_13,3994,R_13,832,R_13,29861,R_13,10/2012,R_13,09/2013,R_13,66,2014,09
HI,1392313,R_13,1392313,R_13,1392313,R_13,1,R_13,49,R_13,2,R_13,172.00,R_13,174.00,R_13,381.00,R_13,555.00,R_13,0,R_13,26721479,R_13,1343101,R_13,2591172,R_13,30655752,R_13,20671528,R_13,218508,R_13,20890036,R_13,1736893,R_13,985221,R_13,90271,R_13,2812385,R_13,6823267,R_13,30525688,R_13,0,R_13,5570000,R_13,0,R_13,0,R_13,5570000,R_13,4873749,R_13,3371766,R_13,15830,R_13,233301,R_13,8067,R_13,153348,R_13,0,R_13,0,R_13,85,R_13,85,R_13,2787,R_13,91760,R_13,5153386,R_13,666928,R_13,981460,R_13,6625551,R_13,2679619,R_13,171830,R_13,357,R_13,75,R_13,9591,R_13,6335,R_13,2115,R_13,273516,R_13,182054,R_13,53177,R_13,523,R_13,668625,R_13,07/2012,R_13,06/2013,R_13,15,2014,08
IA,3059530,R_13,3013684,R_13,3090416,R_13,543,R_13,24,R_13,3,R_13,284.90,R_13,964.00,IF13,724.45,IF13,1688.45,IF13,105114549,IF13,2144335,IF13,58511,R_13,10285005,IF13,117602400,IF13,58424812,IF13,17924422,IF13,76349234,IF13,9503575,IF13,1800031,IF13,3402032,IF13,14705638,IF13,21202457,IF13,112257329,IF13,24154006,IF13,188432,IF13,386976,IF13,4081094,IF13,28810508,IF13,12185969,IF13,12033109,IF13,2916000,IF13,668725,IF13,1879320,IF13,890022,IF13,601,IF13,1030,IF13,7369,IF13,8399,IF13,31090,IF13,998451,IF13,18783522,IF13,1753842,IF13,2048147,IF13,28351216,IF13,9462223,IF13,1145028,IF13,380651,IF13,436413,IF13,72915,IF13,49975,IF13,6075,U_13,1533929,IF13,1226488,IF13,85933,U_13,4540,IF13,3584584,IF13,07/2012,R_13,06/2013,R_13,19,2014,04
ID,1392845,R_13,1344321,R_13,1407299,R_13,100,R_13,44,R_13,12,R_13,92.65,R_13,213.31,R_13,548.08,R_13,761.39,R_13,43730254,IF13,1179496,IF13,60880,IF13,3834754,IF13,48805384,IF13,22462939,IF13,7109794,IF13,29572733,IF13,3658285,IF13,582489,IF13,651854,IF13,4892628,IF13,10587974,IF13,45053335,IF13,1481482,R_13,6815,R_13,22597,R_13,203400,R_13,1714294,R_13,6631849,R_13,4357460,R_13,78622,IF13,239509,IF13,53785,IF13,301440,IF13,359,IF13,185,R_13,4590,R_13,4775,R_13,6351,IF13,276856,IF13,8898059,IF13,1222525,IF13,801245,IF13,14789151,IF13,6662998,IF13,526134,IF13,130225,IF13,112762,IF13,28012,IF13,20390,IF13,2518,U_13,706818,R_13,589236,R_13,43954,U_13,1812,R_13,2065537,IF13,10/2012,R_13,09/2013,R_13,16,2014,07
IL,11711119,R_13,11702600,R_13,12830632,R_13,625,R_13,154,R_13,19,R_13,2109.32,IF13,3137.13,IF13,5497.53,IF13,8634.66,IF13,703234516,IF13,32047049,IF13,3477496,IF13,38800305,IF13,777559366,IF13,365815272,IF13,91466323,IF13,457281595,IF13,49319438,IF13,17702592,IF13,13822368,IF13,80844398,IF13,163440247,IF13,701566240,IF13,66058521,IF13,1767171,IF13,167262,IF13,9406168,IF13,77399122,IF13,89200394,IF13,43400357,IF13,4265531,IF13,2718538,IF13,1444826,IF13,3331504,IF13,92797,IF13,7622,IF13,13750,R_13,21372,IF13,100715,IF13,1921078,IF13,75531075,IF13,10677886,IF13,6814354,IF13,119391577,IF13,48038196,IF13,-1,IA13,5376625,IF13,5376553,IF13,222881,IF13,137524,IF13,17315,U_13,4771547,IF13,3374839,IF13,324673,U_13,14911,IF13,14557951,IF13,10/2011,R_13,06/2013,R_13,17,2014,03
IN,6215003,R_13,6100143,R_13,6483802,R_13,237,R_13,195,R_13,29,R_13,950.41,R_13,1433.90,R_13,2982.80,R_13,4416.70,R_13,274995673,R_13,19316931,R_13,981114,R_13,14813064,R_13,310106782,R_13,142499025,R_13,45702909,R_13,188201934,R_13,25545205,R_13,8318980,R_13,8453713,IF13,42317898,IF13,70766797,R_13,301286629,R_13,26158769,R_13,1681345,R_13,44485,R_13,1025696,R_13,28910295,R_13,32736772,IF13,24066234,IF13,2124076,IF13,1541511,R_13,452617,IF13,1988754,R_13,6955,IF13,2006,R_13,14694,R_13,16700,R_13,47691,R_13,1093741,IF13,36944165,IF13,4538677,IF13,3757048,R_13,77560456,R_13,23947757,IF13,8134837,IF13,410692,R_13,417312,R_13,143189,IF13,87221,IF13,13760,U_13,3088686,IF13,1991724,IF13,203286,U_13,8522,R_13,7770927,IF13,01/2013,R_13,12/2013,R_13,18,2014,03
KS,2487027,R_13,2487027,R_13,2885905,R_13,328,R_13,48,R_13,3,R_13,261.15,IF13,665.69,IF13,1043.35,IF13,1709.04,IF13,100577071,IF13,3684731,IF13,189912,IF13,11770106,IF13,116221820,IF13,56531530,IF13,16300078,IF13,72831608,IF13,7924610,IF13,2919819,IF13,3020534,IF13,13864963,IF13,25271220,IF13,111967791,IF13,1993910,IF13,0,R_13,0,R_13,1313772,IF13,3307682,IF13,2245378,IF13,9339647,IF13,121624,IF13,500579,IF13,33518,IF13,808151,IF13,17287,IF13,381,IF13,16728,R_13,17109,IF13,16107,IF13,683714,IF13,14228833,IF13,1959620,IF13,1686821,IF13,26315187,IF13,9178675,IF13,1343322,IF13,608512,IF13,643706,IF13,51471,IF13,32376,IF13,4830,R_13,1103696,IF13,833352,IF13,70447,U_13,3659,IF13,3914295,IF13,01/2013,R_13,12/2013,R_13,20,2014,04
KY,4380932,R_13,4380415,R_13,4380415,R_13,119,R_13,86,R_13,75,R_13,343.33,IF13,1158.90,IF13,1041.57,IF13,2200.47,IF13,162585031,IF13,5494211,IF13,1106541,IF13,8474796,IF13,177660579,IF13,61679977,IF13,23213677,IF13,84893654,IF13,10780013,IF13,3886998,IF13,4128713,IF13,18795724,IF13,30791725,IF13,134481103,IF13,2468524,IF13,401500,IF13,258073,IF13,1738262,IF13,4866359,IF13,30991573,IF13,8878375,IF13,5351514,IF13,494674,IF13,1774540,IF13,746609,IF13,840469,IF13,1210,IF13,3650,IF13,4860,IF13,30376,IF13,630503,IF13,19377816,IF13,3839558,IF13,2575787,IF13,30117115,IF13,9644453,IF13,1426816,IF13,55172,IF13,75437,IF13,86111,IF13,58764,IF13,5834,U_13,1877496,IF13,1379209,IF13,93481,U_13,4777,IF13,4645371,IF13,07/2012,R_13,06/2013,R_13,21,2014,05
LA,4647844,R_13,4625470,R_13,4625470,R_13,68,R_13,270,R_13,25,R_13,443.35,R_13,1043.07,R_13,1566.51,R_13,2609.58,R_13,212815689,R_13,5396083,R_13,524037,R_13,6479245,R_13,225215054,R_13,83181003,IF13,30336833,IF13,113517836,R_13,12663915,R_13,4687018,R_13,4388466,R_13,21739399,R_13,55961237,R_13,191218472,R_13,8409993,R_13,0,R_13,376399,R_13,28410,R_13,8814802,R_13,52097693,R_13,11649410,R_13,523986,R_13,437278,R_13,246485,R_13,931274,R_13,34618,R_13,623,R_13,5032,R_13,5655,R_13,27204,R_13,786903,R_13,16838235,R_13,4280991,IF13,2450520,R_13,20286867,R_13,4916437,R_13,-1,IA13,102665,R_13,131235,R_13,64511,R_13,35908,R_13,8621,R_13,1562864,R_13,1035852,R_13,161497,R_13,5198,R_13,6629527,IF13,01/2013,R_13,12/2013,R_13,22,2014,05
MA,6585053,R_13,6584353,R_13,6584601,R_13,370,R_13,91,R_13,4,R_13,1239.71,IF13,1790.71,IF13,1912.04,IF13,3702.75,IF13,242020548,IF13,6902975,IF13,660224,IF13,21105407,IF13,270689154,IF13,174382391,IF13,27556102,IF13,201938493,IF13,22663661,IF13,4977599,IF13,6823025,IF13,34464285,IF13,46847849,IF13,283250627,IF13,27847906,IF13,13589709,IF13,491989,IF13,7653740,IF13,49583344,IF13,37110180,IF13,32124590,IF13,3641624,IF13,1469460,IF13,1278875,IF13,1803359,IF13,96933,IF13,4920,IF13,15170,R_13,20090,IF13,45028,IF13,905481,IF13,42544324,IF13,5313368,IF13,3336872,IF13,63517098,IF13,20846290,IF13,343899,IF13,6588258,IF13,6737201,IF13,118038,IF13,70089,IF13,9510,U_13,2397801,IF13,1657132,IF13,122367,U_13,6235,IF13,7760669,IF13,07/2012,R_13,06/2013,R_13,25,2014,01
MD,5800838,R_13,5773552,R_13,5773552,R_13,14,R_13,174,R_13,19,R_13,642.24,R_13,1308.54,R_13,2051.37,R_13,3359.91,R_13,191211728,R_13,48640593,R_13,770921,R_13,27717106,R_13,268340348,R_13,135460340,R_13,49409493,R_13,184869833,R_13,18976304,R_13,6212620,R_13,7288384,R_13,32477308,R_13,37607175,R_13,254954316,R_13,36437192,R_13,3073026,R_13,0,R_13,166800,R_13,39677018,R_13,32761426,R_13,12926952,R_13,1527589,R_13,1081843,R_13,675637,R_13,1081641,R_13,1185,IF13,550,R_13,216,R_13,766,R_13,27834,R_13,468268,R_13,28491536,R_13,8268259,R_13,3369292,R_13,57538130,R_13,21782929,R_13,-1,IA13,205395,R_13,232141,R_13,61395,R_13,40584,R_13,5126,R_13,1684815,R_13,1278095,R_13,123577,R_13,4824,R_13,6909651,R_13,07/2012,R_13,06/2013,R_13,24,2014,02
ME,1340024,R_13,1219167,R_13,1328302,R_13,266,R_13,6,R_13,1,R_13,151.85,IF13,338.87,IF13,334.83,IF13,673.70,IF13,31700690,IF13,363631,IF13,56112,IF13,11092084,IF13,43212517,IF13,23782256,IF13,5768456,IF13,29550712,IF13,3236289,IF13,283660,IF13,658137,IF13,4178086,IF13,9583932,IF13,43312730,IF13,3694410,IF13,0,IF13,19766,IF13,5434430,IF13,9148606,IF13,7573773,IF13,6404097,IF13,1127476,IF13,237368,IF13,672639,IF13,348607,IF13,203,IF13,17434,IF13,61,IF13,17495,IF13,9872,IF13,385829,IF13,7055329,IF13,740958,IF13,761020,IF13,9551051,IF13,3478311,IF13,400004,R_13,508990,IF13,567093,IF13,36562,IF13,21935,IF13,1974,U_13,560240,IF13,355697,IF13,23376,U_13,1950,IF13,1313420,IF13,04/2012,R_13,12/2013,R_13,23,2014,01
