STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,DB_LO_OT,F_DB_L_O,DB_ST,F_DB_ST,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
AK,648733,R_12,648733,R_12,732298,R_12,84,R_12,16,R_12,1,R_12,58.53,R_12,111.29,R_12,195.10,R_12,306.39,R_12,30362572,R_12,701748,R_12,1263943,R_12,1393981,R_12,33722244,R_12,13761895,R_12,8395394,R_12,22157289,R_12,2077503,R_12,372941,R_12,634003,R_12,3084447,R_12,7630553,R_12,32872289,R_12,16154674,R_12,22131716,R_12,6483145,R_12,10993123,R_12,55762658,R_12,36498451,R_12,2429067,R_12,305084,R_12,119578,R_12,221276,R_12,253336,R_12,26,R_12,469,R_12,4116,R_12,4585,R_12,5750,R_12,152119,R_12,3358432,IF12,446946,R_12,443576,R_12,4604130,IF12,1684272,IF12,21823,IF12,20733,R_12,10963,IF12,7732,IF12,1146,U_12,244417,IF12,177733,IF12,16711,U_12,779,R_12,1041031,IF12,01/2011,R_12,06/2012,R_12,02,2013,08
AL,4779736,R_12,4779736,R_12,4779736,R_12,219,R_12,76,R_12,15,R_12,295.45,IF12,752.99,R_12,1041.77,R_12,1794.76,R_12,82283610,R_12,4361445,R_12,1082171,R_12,9259147,R_12,96986373,R_12,50852337,R_12,13153562,R_12,64005899,R_12,6732263,R_12,1366013,R_12,2564779,R_12,10663055,R_12,20198587,R_12,94867541,R_12,3760071,R_12,31348,R_12,183035,R_12,340091,R_12,4314545,R_12,2879453,R_12,9670575,R_12,890041,IF12,456556,R_12,132180,IF12,582587,R_12,279,IF12,868,R_12,15382,R_12,16250,R_12,9621,IF12,623239,R_12,17010830,IF12,4375988,IF12,2519236,IF12,20997336,R_12,6544410,R_12,288648,IF12,314949,R_12,35352,R_12,18967,R_12,3145,U_12,932723,R_12,615254,R_12,70904,U_12,5276,IF12,4624483,IF12,10/2011,R_12,09/2012,R_12,01,2013,05
AR,2791492,R_12,2643928,R_12,2915918,R_12,53,R_12,166,R_12,1,R_12,140.46,IF12,249.63,IF12,700.50,IF12,950.13,IF12,61288159,IF12,5241835,IF12,20163,IF12,3917521,IF12,70467678,IF12,31535710,IF12,8949616,IF12,40485326,IF12,6312453,IF12,1562040,IF12,1872446,IF12,9746939,IF12,17716050,IF12,67948315,IF12,3364582,IF12,119135,IF12,0,IF12,2311941,IF12,5795658,IF12,4962779,IF12,6515623,IF12,157444,IF12,238731,IF12,63722,IF12,494391,IF12,1109,IF12,480,IF12,4598,IF12,5078,IF12,8242,IF12,420404,IF12,10816729,IF12,2043178,IF12,1635503,IF12,14258573,IF12,3692106,IF12,40694,IF12,38954,IF12,33110,IF12,22132,IF12,2659,U_12,914329,IF12,652209,IF12,64969,U_12,2246,IF12,2218928,IF12,01/2012,R_12,12/2012,R_12,05,2013,05
AZ,6487674,R_12,6482505,R_12,6498569,R_12,86,R_12,135,R_12,9,R_12,478.13,IF12,577.66,IF12,1611.09,IF12,2188.75,IF12,169355906,IF12,1407313,IF12,1565000,IF12,6258592,IF12,178586811,IF12,76839394,IF12,27853151,IF12,104692545,IF12,14154482,IF12,4247217,IF12,5920620,IF12,24322319,IF12,46430442,IF12,175445306,IF12,13811284,IF12,22800,IF12,1046900,IF12,368627,IF12,15249611,IF12,12498032,IF12,8419356,IF12,2125526,IA12,658431,IF12,350035,IF12,946732,IF12,26138,IF12,876,IF12,3114,IF12,3990,IF12,15634,IF12,476941,IF12,28121005,IF12,4365109,IF12,3422112,IF12,50655828,IF12,16071828,IF12,277407,IF12,309729,IF12,61663,IF12,33617,IF12,5499,U_12,1284936,IF12,944384,IF12,91829,U_12,5296,IF12,6339315,IF12,07/2011,R_12,06/2012,R_12,04,2013,06
CA,37678127,R_12,37678127,R_12,37678563,R_12,165,R_12,938,R_12,56,R_12,2915.48,IF12,3096.92,IF12,8078.98,IF12,11175.90,IF12,1144265792,IF12,9623062,IF12,5034281,IF12,66768643,IF12,1225691778,IF12,549413137,IF12,269666290,IF12,819079427,IF12,63015407,IF12,19380983,IF12,18022206,IF12,100418596,IF12,262017851,IF12,1181515874,IF12,81262363,IF12,34201911,IF12,678083,IF12,16432738,IF12,132575095,IF12,120209740,IF12,68912421,IF12,1355018,IF12,3671351,IF12,445337,IF12,4924875,IF12,8583,IF12,4003,IF12,180,IF12,4183,IF12,101246,IF12,2180544,IF12,163570057,IF12,23340954,IF12,21966469,IF12,231683802,IF12,92584113,IF12,4008528,IF12,3274286,IF12,289301,IF12,186585,IF12,30475,U_12,8627865,IF12,6261209,IF12,480660,U_12,20340,IF12,34243255,IF12,07/2011,R_12,06/2012,R_12,06,2013,08
CO,5094369,R_12,5059050,R_12,5118526,R_12,98,R_12,153,R_12,14,R_12,639.99,IF12,886.80,IF12,2119.82,IF12,3006.62,IF12,247424357,IF12,78563,IF12,1526389,IF12,14976232,IF12,264005541,IF12,120377953,IF12,35283545,IF12,155661498,IF12,15414935,IF12,7526208,IF12,9503058,IF12,32444201,IF12,55873559,IF12,243979258,IF12,9922425,IF12,164241,IF12,252670,IF12,1514095,IF12,11853431,IF12,34656777,IF12,11366952,IF12,622817,IF12,934905,IF12,322337,IF12,1249337,IF12,21637,IF12,1668,IF12,198,IF12,1866,IF12,24699,IF12,592357,IF12,32774319,IF12,4329429,IF12,3417947,IF12,66065031,IF12,22709089,IF12,738010,IF12,751853,IF12,89597,IF12,56689,IF12,6965,U_12,2265796,IF12,1596370,IF12,115520,U_12,5874,IF12,6884268,IF12,01/2012,R_12,12/2012,R_12,08,2013,07
CT,4365333,R_12,3574097,R_12,3574097,R_12,194,R_12,46,R_12,5,R_12,744.60,IF12,1075.44,IF12,1271.93,IF12,2347.37,IF12,166619787,IF12,1473269,IF12,534163,IF12,23116354,IF12,191743573,IF12,113384631,IF12,31128056,IF12,144512687,IF12,12695922,IF12,3373250,IF12,3376621,IF12,19445793,IF12,33944298,IF12,197902778,IF12,10356327,IF12,2141031,IF12,41065,IF12,2048542,IF12,14586965,IF12,15172426,IF12,15385665,IF12,760615,IF12,846294,IF12,899620,IF12,1083878,IF12,3586,IF12,1537,IF12,5257,IF12,6794,IF12,24511,IF12,543720,IF12,24404598,IF12,3890359,IF12,1779083,IF12,34086955,IF12,11767643,IF12,922374,IF12,920671,IF12,91472,IF12,55932,IF12,6308,U_12,1957413,IF12,1237230,IF12,94861,U_12,4353,IF12,5247243,IF12,07/2011,R_12,06/2012,R_12,09,2013,01
DC,632323,R_12,632323,R_12,632323,R_12,1,R_12,24,R_12,0,R_12,127.00,R_12,127.00,R_12,290.70,R_12,417.70,R_12,35309428,R_12,0,R_12,1293594,R_12,445640,R_12,37048662,R_12,23490289,R_12,5089725,R_12,28580014,R_12,1216837,R_12,550000,R_12,475500,R_12,2242337,R_12,6150073,R_12,36972424,R_12,12823656,R_12,0,R_12,0,R_12,0,R_12,12823656,R_12,27570158,R_12,1334479,R_12,19516,R_12,84299,R_12,11418,R_12,131521,R_12,2500,R_12,58,R_12,0,R_12,58,R_12,1946,R_12,62712,R_12,2546796,IA12,919789,IA12,321544,R_12,3363313,R_12,1087107,R_12,10,R_12,174,R_12,9560,R_12,5969,R_12,1043,R_12,259320,R_12,189412,R_12,12956,R_12,900,R_12,806207,R_12,10/2011,R_12,09/2012,R_12,11,2013,02
DE,897934,R_12,897934,R_12,897934,R_12,19,R_12,13,R_12,2,R_12,62.60,R_12,126.44,R_12,195.82,R_12,322.26,R_12,18719428,R_12,3889706,R_12,0,R_12,1217526,R_12,23826660,R_12,12729207,R_12,4204496,R_12,16933703,R_12,1902463,R_12,534218,R_12,180552,R_12,2617233,R_12,5190955,R_12,24741891,R_12,2700763,R_12,6638056,R_12,0,R_12,4028826,R_12,13367645,R_12,2653398,R_12,1697047,R_12,320921,R_12,122363,R_12,104488,R_12,168177,R_12,0,R_12,63,R_12,735,R_12,798,R_12,6978,R_12,80813,R_12,4561619,R_12,463903,IF12,417768,R_12,6283400,R_12,1933658,R_12,453344,R_12,570205,R_12,11563,R_12,6167,R_12,866,R_12,235326,R_12,165960,R_12,14055,R_12,576,R_12,840624,R_12,07/2011,R_12,06/2012,R_12,10,2013,02
FL,19337915,R_12,19031381,R_12,19074434,R_12,57,R_12,470,R_12,27,R_12,1713.02,IF12,1997.81,IF12,4181.28,IF12,6179.09,IF12,450445215,IF12,22381522,IF12,2071187,IF12,22904307,IF12,497802231,IF12,226280558,IF12,76004044,IF12,302284602,IF12,37542263,IF12,12212811,IF12,9842345,IF12,59597419,IF12,139199327,IF12,501081343,IF12,28071766,R_12,104541,R_12,57600,R_12,1187846,R_12,29421753,R_12,43448641,R_12,32480784,IF12,1394066,IF12,2128807,IF12,869950,IF12,3395248,IF12,38150,IF12,1325,IF12,4102,IF12,5427,R_12,52958,IF12,1253378,IF12,82460245,IF12,30948863,IF12,10208157,IF12,126432886,IF12,36821538,IF12,117916,IF12,134746,IF12,185800,IF12,87578,IF12,15081,R_12,3993671,IF12,2450386,IF12,246541,R_12,15735,IF12,19606796,IF12,10/2011,R_12,09/2012,R_12,12,2013,05
GA,10459546,R_12,10459546,R_12,10459546,R_12,61,R_12,332,R_12,16,R_12,634.71,R_12,634.71,R_12,2132.03,R_12,2766.74,R_12,157405560,R_12,26219243,R_12,351038,R_12,11313112,R_12,195288953,R_12,94962014,R_12,35435858,R_12,130397872,R_12,11798797,R_12,2358139,R_12,2689235,R_12,16846171,R_12,33194583,R_12,180438626,R_12,9542154,R_12,13759839,R_12,189215,R_12,234581,R_12,23725789,R_12,24268459,R_12,16636791,R_12,273671,R_12,651823,R_12,271983,R_12,972251,R_12,9006,R_12,1674,R_12,10065,R_12,11739,R_12,20315,R_12,831121,R_12,33351403,R_12,9661011,IF12,4564784,R_12,43529545,R_12,17187795,R_12,886819,R_12,842926,R_12,64293,R_12,42959,R_12,4127,R_12,1698753,R_12,1331694,R_12,82924,R_12,7516,R_12,13176228,R_12,07/2011,R_12,06/2012,R_12,13,2013,05
GU,159358,R_12,159358,R_12,159358,R_12,1,R_12,5,R_12,1,R_12,0.00,R_12,0.00,R_12,23.00,R_12,23.00,R_12,887199,R_12,0,R_12,0,R_12,32215,R_12,919414,R_12,428639,R_12,132676,R_12,561315,R_12,4839,R_12,103431,R_12,0,R_12,108270,R_12,69105,R_12,738690,R_12,0,R_12,0,R_12,163746,R_12,0,R_12,163746,R_12,0,R_12,258241,R_12,1278,R_12,982,R_12,0,R_12,4915,R_12,0,R_12,2,R_12,0,R_12,2,R_12,166,R_12,4962,R_12,75472,R_12,30602,R_12,57106,R_12,41389,R_12,25679,R_12,0,R_12,0,R_12,341,R_12,317,R_12,9,R_12,6433,R_12,5618,R_12,317,R_12,71,R_12,28732,R_12,10/2011,R_12,09/2012,R_12,66,2013,09
HI,1374810,R_12,1374810,R_12,1374810,R_12,1,R_12,49,R_12,3,R_12,173.00,R_12,175.00,R_12,380.00,R_12,555.00,R_12,0,R_12,27578467,R_12,1354662,R_12,2390696,R_12,31323825,R_12,20840652,R_12,275733,R_12,21116385,R_12,1860229,R_12,808047,R_12,214349,R_12,2882625,R_12,7090919,R_12,31089929,R_12,0,R_12,3075000,R_12,0,R_12,0,R_12,3075000,R_12,3699022,R_12,3393557,R_12,11688,R_12,265558,R_12,5288,R_12,149477,R_12,0,R_12,0,R_12,81,R_12,81,R_12,3068,R_12,93337,R_12,5347164,R_12,689909,R_12,981737,R_12,6924263,R_12,2715655,R_12,443,R_12,71,R_12,9209,R_12,6307,R_12,1832,R_12,253738,R_12,180422,R_12,47171,R_12,453,R_12,600855,R_12,07/2011,R_12,06/2012,R_12,15,2013,08
IA,3040758,R_12,2992002,R_12,3074186,R_12,542,R_12,24,R_12,3,R_12,277.90,IF12,963.68,IF12,721.59,IF12,1685.27,IF12,102905199,IF12,1676885,IF12,100947,R_12,10462687,IF12,115145718,IF12,58291573,IF12,17689673,IF12,75981246,IF12,9431734,IF12,1485365,IF12,3337605,IF12,14254704,IF12,20659188,IF12,110895138,IF12,5350518,IF12,475066,R_12,347925,R_12,5704846,IF12,11878355,IF12,12714008,IF12,12179219,IF12,2021109,IF12,662754,IF12,1109289,IF12,847446,IF12,406,IF12,947,IF12,9361,IF12,10308,IF12,33053,IF12,996568,IF12,19518720,IF12,1880628,IF12,2047632,IF12,29126922,IF12,9735286,IF12,414241,IF12,440991,IF12,72112,IF12,50398,IF12,5775,U_12,1542751,IF12,1246382,IF12,80692,U_12,4486,IF12,3835732,IF12,07/2011,R_12,06/2012,R_12,19,2013,04
ID,1393630,R_12,1385848,R_12,1595728,R_12,100,R_12,44,R_12,10,R_12,93.82,R_12,219.91,R_12,527.04,R_12,746.95,R_12,42886049,R_12,1099837,R_12,105990,R_12,3663792,R_12,47755668,R_12,22023803,R_12,6944027,R_12,28967830,R_12,3672766,R_12,542728,R_12,589382,R_12,4804876,R_12,9692622,R_12,43465328,R_12,1320156,R_12,10047,R_12,20548,R_12,621715,R_12,1972466,R_12,4152685,R_12,4362059,R_12,45200,IF12,233115,R_12,39298,R_12,290056,R_12,122,R_12,182,R_12,5202,R_12,5384,R_12,6892,R_12,270884,IF12,9441138,IF12,1255529,IF12,784014,IF12,15114743,R_12,6732572,IF12,107254,IF12,94214,IF12,25765,IF12,18402,IF12,2216,U_12,660217,IF12,547548,IF12,43761,U_12,1651,R_12,1806151,IF12,10/2011,R_12,09/2012,R_12,16,2013,07
IL,11702600,R_12,11702600,R_12,12830632,R_12,623,R_12,157,R_12,23,R_12,2082.69,IF12,3154.00,IF12,5579.48,IF12,8733.48,IF12,700270236,IF12,29959332,IF12,3954983,IF12,40125381,IF12,774309932,IF12,365962431,IF12,90450394,IF12,456412726,IF12,50003621,IF12,16107983,IF12,14216995,IF12,80328599,IF12,165197845,IF12,701939170,IF12,40892126,IF12,985515,IF12,186972,IF12,5830457,IF12,47895070,IF12,75149673,IF12,43862523,IF12,2382274,IF12,3302539,IF12,992615,IF12,3095739,IF12,448318,IF12,7292,IF12,13702,IF12,20994,IF12,98137,IF12,1912026,IF12,77447598,IF12,13875236,IF12,4978251,IF12,120491025,IF12,47848961,IF12,5527171,IF12,5450353,IF12,205064,IF12,125493,IF12,15935,U_12,4469284,IF12,3177562,IF12,315193,U_12,13858,IF12,15583468,IF12,10/2010,R_12,06/2012,R_12,17,2013,03
IN,6217572,R_12,6100143,R_12,6483802,R_12,237,R_12,197,R_12,28,R_12,931.23,IF12,1437.22,IF12,3013.95,IF12,4451.17,IF12,279774818,IF12,19974554,IF12,1171506,IF12,14919876,IF12,315840754,IF12,139917403,IF12,45422664,IF12,185340067,IF12,25752340,IF12,7789884,IF12,8552632,IF12,42094856,IF12,69649743,IF12,297084666,IF12,25667537,IF12,1627700,IF12,13321,IF12,782744,IF12,28091302,IF12,34562056,IF12,24321183,IF12,1248050,IF12,1548451,IF12,387062,IF12,2004438,IF12,2300,IF12,1822,R_12,14694,R_12,16516,R_12,49301,IF12,1098155,R_12,38663561,IF12,5208670,IF12,3791353,IF12,77578562,IF12,23464718,IF12,389209,IF12,387468,IF12,138667,IF12,84765,IF12,12570,U_12,3059716,IF12,1993095,IF12,198877,U_12,8383,IF12,7777113,IF12,01/2012,R_12,12/2012,R_12,18,2013,03
KS,2467707,R_12,2467707,R_12,2871238,R_12,328,R_12,48,R_12,3,R_12,258.64,IF12,679.00,IF12,1039.61,IF12,1718.61,IF12,96677492,IF12,3571218,IF12,182853,IF12,12700860,IF12,113132423,IF12,53936120,IF12,15537306,IF12,69473426,IF12,8039524,IF12,2404168,IF12,2712772,IF12,13156464,IF12,23857101,IF12,106486991,IF12,3272849,IF12,0,R_12,0,R_12,1363793,IF12,4636642,IF12,2710127,IF12,9504858,IF12,47911,IF12,466917,IF12,14524,IF12,757523,IF12,1309,IF12,345,R_12,16728,R_12,17073,R_12,20128,IF12,681926,IF12,14731174,IF12,2034423,IF12,1701112,IF12,26374729,IF12,9751273,IF12,854675,IF12,857262,IF12,49070,IF12,31952,IF12,4929,U_12,1096225,IF12,804649,IF12,71951,U_12,3649,IF12,3838237,IF12,01/2012,R_12,12/2012,R_12,20,2013,04
KY,4369356,R_12,4369356,R_12,4369356,R_12,119,R_12,84,R_12,75,R_12,328.00,R_12,1108.42,R_12,1081.74,R_12,2190.16,R_12,158787730,R_12,5497328,R_12,2136704,R_12,8117865,R_12,174539627,R_12,59845153,R_12,21922734,R_12,81767887,R_12,11118776,R_12,1343717,R_12,6028810,R_12,18491303,R_12,32007954,R_12,132267144,R_12,5388214,R_12,274592,R_12,1965870,R_12,2465354,R_12,10094030,R_12,30626136,R_12,8803432,R_12,3239772,R_12,494929,R_12,713801,R_12,665147,R_12,73432,R_12,1183,R_12,3664,R_12,4847,R_12,40027,R_12,628607,R_12,19870274,R_12,3795367,R_12,2472391,R_12,29708255,R_12,9838425,R_12,54363,R_12,78650,R_12,77203,R_12,52355,R_12,5858,R_12,1672857,R_12,1269546,R_12,84635,R_12,4497,R_12,4913929,R_12,07/2011,R_12,06/2012,R_12,21,2013,05
LA,4624437,R_12,4601893,R_12,4601893,R_12,68,R_12,270,R_12,27,R_12,423.76,R_12,994.71,R_12,1570.05,R_12,2564.76,R_12,208869396,R_12,5044710,R_12,740568,R_12,6180127,R_12,220834801,R_12,79716047,IF12,27428048,IF12,107144095,R_12,12918266,R_12,3411761,R_12,4670447,R_12,21000474,R_12,54734413,R_12,182878982,R_12,5959768,R_12,1939830,R_12,465220,R_12,20823,R_12,8385641,R_12,38680088,R_12,11934264,R_12,324964,R_12,422551,R_12,146175,R_12,870325,R_12,20949,R_12,501,R_12,5236,R_12,5737,R_12,38138,R_12,768138,R_12,16829969,R_12,3971830,IF12,2610550,R_12,20664469,R_12,5046726,R_12,111432,R_12,120590,R_12,53305,R_12,32036,R_12,6475,R_12,1419652,R_12,928825,R_12,165907,R_12,5054,R_12,6390819,R_12,01/2012,R_12,12/2012,R_12,22,2013,05
MA,6584601,R_12,6584353,R_12,6584601,R_12,370,R_12,93,R_12,5,R_12,1189.72,IF12,1745.75,IF12,1868.67,IF12,3614.42,IF12,233597049,IF12,6593791,IF12,762793,IF12,21784061,IF12,262737694,IF12,167575565,IF12,27042513,IF12,194618078,IF12,22255339,IF12,4270541,IF12,6742455,IF12,33268335,IF12,44976167,IF12,272862580,IF12,12311132,IF12,10032403,IF12,450979,IF12,4003157,IF12,26797671,IF12,26129016,IF12,32731512,IF12,2505373,IF12,1448434,IF12,944025,IF12,1792984,IF12,33028,IF12,4337,IF12,15087,IF12,19424,IF12,47632,IF12,906760,IF12,42650826,IF12,5466267,IF12,3426313,IF12,64827848,IF12,21021300,IF12,6634449,IF12,6759995,IF12,114853,IF12,69406,IF12,8760,U_12,2371141,IF12,1636104,IF12,106667,U_12,6070,IF12,8210922,IF12,07/2011,R_12,06/2012,R_12,25,2013,01
MD,5701638,R_12,5699478,R_12,5699478,R_12,14,R_12,173,R_12,18,R_12,613.81,R_12,1260.67,R_12,2044.70,R_12,3305.37,R_12,183437534,R_12,48814060,R_12,1885759,R_12,25778771,R_12,259916124,R_12,130849363,R_12,48473295,R_12,179322658,R_12,18967849,R_12,5762034,R_12,7518492,R_12,32248375,R_12,39785973,R_12,251357006,R_12,126381134,R_12,4000328,R_12,0,R_12,5000,R_12,130386462,R_12,16142170,R_12,13022453,R_12,588507,R_12,1209062,R_12,644676,R_12,1010310,R_12,805,IF12,576,R_12,216,R_12,792,R_12,27042,R_12,475078,R_12,29209021,IF12,8320716,R_12,3290865,R_12,57212709,R_12,22210849,R_12,197098,R_12,217663,R_12,56570,R_12,37754,R_12,4939,R_12,1598797,R_12,1227120,R_12,121969,R_12,4531,R_12,6757378,R_12,07/2011,R_12,06/2012,R_12,24,2013,02
